id,sent1,sent2,ending0,ending1,ending2,ending3,ending4,end0type,end1type,end2type,end3type,end4type,label
109,am feeling like having fun,,watch the zebras in front of the people at the outdoor table,snap a picture of the girl and giraffe,have some fun in the park,play ball in the park,go and play with the elephant,vis,vis,lan,lan,targ,4
117,want to see animals,,stroke the elephant,go to the zoo and look at giraffes behind a fence,i will take a picture of the zebras standing back to back,watch the horse show at the local equestrian park,watch a parade with horses,vis,targ,vis,lan,lan,1
138,feel like observing,,ride the elephant with my children,stare at this horse and hop on top of it.,go watch the giraffe,fly to thailand and play with elephants,watch the man sheer the sheep,vis,lan,targ,vis,lan,2
141,wanted to ride an animal at the zoo,,go to the elephant enclosure and see if they offer rides,take them out to ride in my motorcycle,watch the baby laughing at the bear,play in the park with a dog,snap a picture of the girl and the giraffe.,targ,lan,vis,lan,vis,0
143,needed a good laugh while at the zoo,,take my child to the zoo for a visit,walk up the man and make fun of his tie.,i will go to zoo,watch an elephant take off a mans hat with it's trunk,watch the man with the frisbees and the dog,vis,lan,vis,targ,lan,3
149,want to get wet,,let the elephant spray me with his trunk,i will pet the cat,i will ride the animal,watch the zebras in front of the people at the outdoor table,snap a picture of the girl and the giraffe.,targ,lan,lan,vis,vis,0
160,want to feel happy,,pet my kitten all the afternoon,cuddle my baby and look at giraffes.,talk to the cute child,stand and watch the zebras,watch the zebras in front of the people at the outdoor table,lan,targ,lan,vis,vis,1
161,feel like taking a pretty picture,,climb on top of the goat to run,take a photo of the boy and the cake,take a picture of the man,approach the elephant to see it more closely,take a picture of the boy and the parrot,vis,lan,lan,vis,targ,4
162,feel like earning some money,,watch the skateboard perform tricks,wait for the family to leave the viewing deck,raise a glass and toast cheers,get paid for singing on a stage,get my skateboard and perform some tricks,lan,vis,vis,targ,lan,3
163,want to feel love,,go to the park to watch the parade,get my wife buy two hot dogs from a kiosk and make a funny face.,marry the man,eat a piece of pizza after i get married,join in the crowd cheering on the parade,vis,lan,targ,lan,vis,2
164,am feeling generous,,donate money to the good cause,wait for the family to leave the viewing deck,raise a glass and toast cheers,offer to help clean up the kitchen and go pat the dog.,buy a bundle of bananas,targ,vis,vis,lan,lan,0
165,wanted to have fun,,cheer the woman on,join in and sing happy birthday,celebrating the life and our faith,invite them for dinner and sing for them,go to the next birthday party eat brownies and watch them blow out the candles,vis,targ,vis,lan,lan,1
166,have the day off,,go to the parade,wait for the family to leave the viewing deck,watch the local team at the ball field from the blue seats,i'll have a quick phone call with my husband to cheer myself up,cheer on the boy at bat,targ,vis,lan,vis,lan,0
167,want to take a photo,,listen to the speech that the man is making at the podium.,wait for the family to leave the viewing deck,sit down at the table on one of the empty seats,sit on the beach next to them while the kids play,wave to the women riding horses in the parade,vis,targ,lan,lan,vis,1
168,feel happy and joyful,,have a drink too,wait until the man is married,watch an awards show,enjoy some cake and a cup of tea,raise a glass and toast cheers,lan,vis,vis,lan,targ,4
169,happy,,put on clown makeup and party with my girlfriend,have cake with the women,photobomb this woman,congratulate the happy couple,go to a party and spend time with my friends,vis,lan,lan,targ,vis,3
170,feel happy,,put on a costume and join the parade,wish the girl a happy birthday,say happy birthday to the woman with cake,perform an act to entertain the people on the stage.,eat my birthday cake,vis,targ,lan,vis,lan,1
171,feel sociable,,buy a birthday cake,hope the men finish their speeches,cut the cake by myself and get the best part of it,sing happy birthday to the girl,wait for the family to leave the viewing deck,lan,vis,lan,targ,vis,3
172,make through this day i will be happy the rest of my life.,,wait te eat some wedding cake,have so much fun at the reception,celebrate christmas by raising my hands,have a piece of wedding cake,kiss this man and mean every bit of it.,lan,targ,vis,lan,vis,1
173,want to take a picture,,give a round of applause to people receiving certificates,make jokes and laugh with my family,remember this wedding,help my bride cut the cake,watch the couple cut the cake and congratulate them,vis,vis,targ,lan,lan,2
176,get lonely,,celebrate my birthday with cake and friends,eat cake with friends and family,hope the men finish their speeches,celebrate with my family,kiss this man and mean every bit of it.,lan,lan,vis,targ,vis,3
178,want to release stress and have fun after a day of working,,join everyone at the bar for a drink,watch an awards show,stay for a presentation and treats put on by the artist,join in with the people on their get together,invite all my partners and make a party,lan,vis,vis,lan,targ,4
179,was feeling a frisky mood,,wish the man a happy birthday,get closer and hear them chatting,hug the teddy bear,celebrating the life and our faith,yell out get a room to the couple hugging !,vis,lan,lan,vis,targ,4
181,am feeling happy,,eat a meal with this couple.,i will bump fists to celebrate,blow bubbles on the wedding couple,blow out the candles,make jokes and laugh with my family,lan,vis,targ,lan,vis,2
183,want to know what thaey are waiting for,,call my husband,listen to the children sing into the microphone.,smile and talk to other guests,give her a gift on her birthday,perform an act to entertain the people on the stage.,vis,lan,lan,vis,targ,4
185,if i feel happy,,dip a finger into the icing on that cake,get paid for singing on a stage,say a funny joke to all the people,i will bump fists to celebrate,give my teammate a high five,lan,vis,vis,targ,lan,3
187,wonder,,i will get behind the giraffes and take a picture of it,give a round of applause to people receiving certificates,would wear a colorful costume and sing in a trio,i would watch the parade,raise a glass and toast cheers,lan,vis,lan,targ,vis,3
189,feel like seeing an actor,,raise a glass and toast cheers,watch a dining programme on the television,i would invite my friends to a bar to spend time together,watch the tennis on a show court,watch an awards show,vis,lan,vis,lan,targ,4
191,want to learn a new activity,,i will bump fists to celebrate,spend time with a nurse in hospital,volunteer at the animal shelter and help with the kennels.,celebrate with these people and wave a flag,go and eat some food or drink,vis,targ,lan,vis,lan,1
193,am feeling sociable,,i will wish the couple good luck,put on clown makeup and party with my girlfriend,i will invite my family for dinner soon,give a round of applause to people receiving certificates,i will go to work,targ,vis,lan,vis,lan,0
194,wanted to celebrate,,give a round of applause to people receiving certificates,put on a party hat and join the men,throw a party,eat some cake like the party girl,hope the men finish their speeches,vis,lan,targ,lan,vis,2
198,feel despondent,,salute the american flag,i will use my phone and call my friend,i'll have a quick phone call with my husband to cheer myself up,i call him on the phone,watch an awards show,vis,lan,targ,lan,vis,2
199,feel lonely,,kiss this man and mean every bit of it.,i will make a cake and invite friends.,hope the men finish their speeches,invite family and friends to visit me,spend time with my friends.,vis,lan,vis,targ,lan,3
201,am reeling romantic,,wait te eat some wedding cake,put on clown makeup and party with my girlfriend,attend the wedding,make jokes and laugh with my family,bring cake to a meal.,lan,vis,targ,vis,lan,2
205,am present,,get my phone out and give her a call,say happy birthday to the girl,make jokes and laugh with my family,have a piece of birthday cake,go to the park to watch the parade,lan,targ,vis,lan,vis,1
207,want to enjoy my afternoon,,video record a gathering for the people there,feel joy for the men,go to a birthday party and celebrate.,buy a big cake and other food and celebrate in the kitchen at work,eat some birthday cake,vis,vis,targ,lan,lan,2
210,want to have a threesome,,start getting the people in the room to sing happy birthday.,proposition the couple for a good time,join in and sing happy birthday,have a drink with this woman,take the gift from the woman,vis,targ,vis,lan,lan,1
214,want to join in a celebration,,kiss this man and mean every bit of it.,raise a glass to the bride and groom,attend my friend's wedding and eat cake!,go to the park to watch the parade,toss the bouquet of flowers,vis,targ,lan,vis,lan,1
215,feel friendly,,i will bump fists to celebrate,hope clap for the boys,offer to hold the carrots for the woman,watch the couple cut the cake and congratulate them,offer to take a photo of the bride and man,vis,vis,lan,lan,targ,4
217,want to be of some help,,watch the couple cut the cake and congratulate them,hail a cab for the bride and groom.,give her a gift on her birthday,say a funny joke to all the people,take a picture of the couple cutting their wedding cake,lan,targ,vis,vis,lan,1
222,want something to come true,,watch an awards show,make a wish as i blow out my birthday candles.,give you a birthday cake,wave to the women riding horses in the parade,eat birthday cake with my team.,vis,targ,lan,vis,lan,1
227,was invited to a wedding i would attend,,jion the family at the dinner table,congratulate the two men that are getting married,be waiting for them to sing to the chilren,have a piece of wedding cake,put on clown makeup and party with my girlfriend,lan,targ,vis,lan,vis,1
231,like i want a day out,,call my husband,go to this baseball game,go to the park to watch the parade,marry my bride,go to the skating park,vis,lan,targ,vis,lan,2
233,want to cheer up my daughter,,feel joy for the men,toss the bouquet of flowers,get a present for the baby,buy a cake and balloons to cheer her up.,video record a gathering for the people there,vis,lan,lan,targ,vis,3
237,don't care who likes my feelings for my lover,,touch the elephant to show love and respect,spend time with the army soldiers visiting my village,go to a party and spend time with my friends,kiss this man and mean every bit of it.,eat some birthday cake with these men,lan,vis,vis,targ,lan,3
239,feel happy,,start to eat the cake before the ceremony is finished,smile and wish the bride good luck.,share the cake with the woman,salute the american flag,throw my son a nasa themed birthday party,lan,targ,lan,vis,vis,1
240,want to commit,,wait te eat some wedding cake,i eat the wedding cake,go to a party and spend time with my friends,join in the crowd cheering on the parade,marry my bride,lan,lan,vis,vis,targ,4
246,if it were unoccupied,,have a drink and chat,win an award,i would invite my friends to a bar to spend time together,congratulate the man and woman on their anniversary,hang out at this restaurant,lan,vis,targ,vis,lan,2
249,want to have a good time,,celebrate with these people and wave a flag,join this family for karaoke and game night.,go to the bar and share drinks with my friend,meet up with a group of friends.,tell the man to have a merry christmas,vis,targ,lan,lan,vis,1
253,want to celebrate,,make them a cake,congratulate the men on graduating,wave to the women riding horses in the parade,eat pieces of cake at a table surrounded by friends,start getting the people in the room to sing happy birthday.,lan,vis,vis,lan,targ,4
255,we are a nice comunity,,get a glass of wine and join the people,i will take a picture of the cake and people,celebrating the life and our faith,yell out get a room to the couple hugging !,buy him a cake and invite his friends to party,lan,lan,targ,vis,vis,2
259,am enjoying their teamwork,,shout encouragement to the boy,start getting the people in the room to sing happy birthday.,cheer up the woman,buy him a cake and invite his friends to party,feel joy for the men,lan,vis,lan,vis,targ,4
261,want to take a video,,feel joy for the men,invite the child to dance.,say a funny joke to all the people,signal to the kids to start singing happy birthday,give you a birthday cake,vis,lan,vis,targ,lan,3
265,want to socialize,,attend the toga party with my college classmates,go for drinks with a group of people,socialize with other people at a party,i'll have a quick phone call with my husband to cheer myself up,tell the man to have a merry christmas,targ,lan,lan,vis,vis,0
267,was there i'd be standing off to the side,,be waiting for them to sing to the chilren,congratulate the men for graduating college,invite them for dinner and sing for them,wish the man a happy birthday,take a pic next to the stop sing,targ,vis,lan,vis,lan,0
268,wanted to celebrate my son's birthday,,buy him a cake and invite his friends to party,salute the american flag,wave to the women riding horses in the parade,invite them to the restaurant and talk with them,throw my boy a birthday party with a cake and candles,targ,vis,vis,lan,lan,0
282,am feeling bored,,tell the woman to hurry up,join the birthday party.,party with my best friend at a social,applaud the player's effort.,hope the men finish their speeches,lan,vis,vis,lan,targ,4
283,want to celebrate,,cheer for the team,cheer for the boys to win the game,congratulate the men on graduating,join in the crowd cheering on the parade,marry the man i love,lan,lan,vis,targ,vis,3
286,want to celebrate a special day,,i would invite my friends to a bar to spend time together,take a macro picture of the soldier's uniform.,salute the american flag,hold up this sign in a protest,go to a party and spend time with my friends,vis,lan,targ,lan,vis,2
287,to celebrate christmas walking through the streets,,cuddle my children,congratulate the men for graduating college,celebrate christmas by raising my hands,go to concert with a group of people,take the tea with my stuffed animals,lan,vis,targ,vis,lan,2
292,feel like having fun,,dress up like a zombie,cover myself with large stuffed animals.,put on clown makeup and party with my girlfriend,salute them.,congratulate the man and woman on their anniversary,lan,lan,targ,vis,vis,2
293,am feeling adventurous,,sing a song for the people,i will bump fists to celebrate,attend a dinner like this man holding a gift.,watch the kids perform at school,sing and then eat birthday cake,targ,vis,vis,lan,lan,0
294,am interested,,talk to these soldiers and shake their hands,listen to the speech that the man is making at the podium.,invite all my partners and make a party,be able to use the empty chair and join the people,i would invite my friends to a bar to spend time together,lan,targ,vis,lan,vis,1
300,have a birthday,,listen to the speech that the man is making at the podium.,have a party with cake and candles,celebrate and blow the candle,get on stage with this band.,buy a cake designed for the occasion and celebrate with coworkers,vis,lan,targ,vis,lan,2
305,want to show my love to my family,,give a kiss to my mom,pull faces at my wife,go to the park to watch the parade,get my wife buy two hot dogs from a kiosk and make a funny face.,hail and cab for the bride and groom,targ,lan,vis,lan,vis,0
307,want to show appreciation to my pet,,congratulate the men for graduating college,eat some birthday cake,eat cake and enjoy myself with this family and baby.,celebrate their birthday by placing them in a wagon and dressing up,congratulate the men on graduating,vis,lan,lan,targ,vis,3
313,am drunk,,put on a costume and join the parade,wish the girl a happy birthday,wear a santa hat on the subway,dress up sexily for him,say a funny joke to all the people,targ,vis,lan,lan,vis,0
324,am enjoying the match,,clap and hoot for the woman.,offer some clothes to the lady,pull faces at my wife,throw my son a nasa themed birthday party,go to a rock concert with friends,targ,lan,lan,vis,vis,0
326,talk into the microphone,,blow out the candle on the cake,proposition the couple for a good time,get the people to sing happy birthday to the man,make a birthday cake,get married happily just like this couple,lan,vis,targ,lan,vis,2
329,want to be cheerful,,blow out the candles with him,tell the man to have a merry christmas,blow the candles out for the boy,get on stage with this band.,party with my best friend at a social,lan,targ,lan,vis,vis,1
332,am in the way,,lie on the floor and see the clouds,get out of the walking lady's way,get out of the way of the motorcycle,i would cool off by running tnrough the fire hydrant water.,get out of the skiier's way,vis,lan,lan,vis,targ,4
333,want to enjoy myself,,stop and warn the little girl to be careful in the water,ride my surfboard in the sea,take a picture of the man surfing,try to run after and pop the bubbles.,rest on a boat,vis,lan,lan,vis,targ,4
334,want to swim,,be able to get up the ramp to the top,ride the waves on my surfboard,ride my surfboard in the sea,lie on the floor and see the clouds,dive in the water,vis,lan,lan,vis,targ,4
335,i want to get my shoes dirty,,ride bicycle on the road,ride my bike across the sand,try to finish setting the nets and boats,try to run after and pop the bubbles.,step into the mud puddle,lan,lan,vis,vis,targ,4
336,feel friendly,,ride my surfboard on a big wave,take a picture of the man on his surfboard,try to finish setting the nets and boats,smile at the man with the surfboard,get to the desert table first and take it,lan,lan,vis,targ,vis,3
337,i feel cool,,i would touch the water,be able to get up the ramp to the top,i will accompany the man and enjoy hunting the animals,take my boogie board and go play in the ocean,try to run after and pop the bubbles.,targ,vis,lan,lan,vis,0
338,if i want to get wet,,be able to coast up the ramp,be able to get up the ramp to the top,bring my surfboard to the ocean,i will jump into the sea,ride my surfboard at the beach,vis,vis,lan,targ,lan,3
339,this is fun,,hold my umbrella to the sky,try to finish setting the nets and boats,jump in the sea with the surfers,try to run after and pop the bubbles.,i must stop the water jet,lan,vis,lan,vis,targ,4
340,hope he doesn't fall,,try and ski with him,tickle the water to attract the fish,watch him jump the hill,watch the man on the horse,try and get away from the mosquitos,lan,vis,targ,lan,vis,2
341,am hot,,i will lay down on the grass and look up into the sky,run through the water,take my teddy to the beach to paddle in the water,take my surfboard to the beach.,lie on the floor and see the clouds,vis,targ,lan,lan,vis,1
342,want to get very far,,look for a way out of this street,i will lay down on the grass and look up into the sky,jump the wall,open the garage door,try and get away from the mosquitos,lan,vis,targ,lan,vis,2
343,look for my pet,,have some fun in the park,we will get together in the park and play frisbee,try to finish setting the nets and boats,i would cool off by running tnrough the fire hydrant water.,i will sit on the park bench,targ,lan,vis,vis,lan,0
344,watch him much longer,,stop and watch the person doing stunts,try the boat the man has,capture the skateboarder doing the trick on the ramp,get dizzy and fall on the ramp.,go to the mountains to do some skiying,lan,vis,lan,targ,vis,3
346,want to take a funny picture,,wash the sand off at the nearest shower location,take a picture on the mountain and kee that moment with me forever,turn up the water pressure on the hydrant,take a picture of the fire hydrant too,watch him jump the hill,lan,vis,targ,lan,vis,2
348,want a thrill,,try and get away from the mosquitos,jump in the sea with the surfers,ride my surfboard in the sea,i will lay down on the grass and look up into the sky,ride the wave,vis,lan,lan,vis,targ,4
349,experience something new and interesting,,watch the children interact with the giraffe,ride on an animal in the water,get to the desert table first and take it,lie on the floor and see the clouds,stand under the umbrella,lan,targ,vis,vis,lan,1
352,want to be safe,,tickle the water to attract the fish,stand on the concrete ledge to see the skateboarder from above,try and get away from the mosquitos,hold onto the railings,jump out of the way of the bat,vis,lan,vis,targ,lan,3
353,am feeling bored.,,go on the roller coaster next.,take a ride in the train,i would cool off by running tnrough the fire hydrant water.,take the train,hold someone's hand to help them cross the water,targ,lan,vis,lan,vis,0
357,if i were feeling hot,,i would cool off by running tnrough the fire hydrant water.,make a funny face on a fire hydrant.,take some wool from my ship,see people in tents,i will accompany the man and enjoy hunting the animals,targ,lan,vis,vis,lan,0
358,am feeling goofy,,make fun of the people without legs,stop and warn the little girl to be careful in the water,i will lay down on the grass and look up into the sky,wait for the next person to jump over the bar,walk like a crab up the stairs,lan,vis,vis,lan,targ,4
359,like the sport,,look over the rails at the trees,take in the breeze.,go in the shed,get out of the way of the motorcycle,stop to watch the man descend the ramp.,lan,vis,vis,lan,targ,4
361,want to relax,,stop and warn the little girl to be careful in the water,be sitting in this chair enjoying the beach,lift up her dress,sit on the sand with the couple.,be able to get up the ramp to the top,vis,lan,lan,targ,vis,3
362,am feeling playful,,watch the fireworks,perch on these pillars also,jump in the sea with the surfers,watch out for the boys on the skate ramp,run by and grab the boy's surfboard,vis,vis,lan,lan,targ,4
367,can keep my balance,,ride bicycle on the road,be able to ride this wave,perch on these pillars also,get food off of the boats,take a turn on the surfboard,lan,targ,vis,vis,lan,1
369,if i am feeling playful,,take my teddy to the beach to paddle in the water,jump in the sea with the surfers,look at the mountains,play and splash in the water,try the boat the man has,lan,lan,vis,targ,vis,3
371,feel concerned,,launch myself down the slope,look at the mountains,stop and warn the little girl to be careful in the water,avoid the boy going quickly on the scooter,take a drink from the water bottle,vis,vis,targ,lan,lan,2
375,stretch out,,tickle the water to attract the fish,tickle the giraffe's nose,play with the surfboard,go on the roller coaster next.,launch myself down the slope,targ,lan,lan,vis,vis,0
385,want to see nature,,i take a photo of the street,look at the mountains,tickle the water to attract the fish,follow the group of people up the snow slope,i would cool off by running tnrough the fire hydrant water.,lan,targ,vis,lan,vis,1
392,can balance myself,,be able to stay on top of this bucket,take my surfboard to the beach.,take in the breeze.,jump out of the way of the bat,launch myself down the slope,targ,lan,vis,lan,vis,0
395,want to be naughty,,take my kite out to the backyard,stop and warn the little girl to be careful in the water,climb up the fence,tickle the water to attract the fish,open the garage door,lan,vis,targ,vis,lan,2
397,knock this over,,take in the breeze.,trip and fall,land a trick on the skateboard,ride my surfboard on a big wave,perch on these pillars also,vis,targ,lan,lan,vis,1
419,was there i'd try to get inside,,try and get away from the mosquitos,take in the breeze.,complete this jump successfully,use an umbrella to get relief from the sun,go to the ocean's edge with my dogs,targ,vis,vis,lan,lan,0
420,want to die,,ride the bike,proceed cautiously back to my tent,see people in tents,jump on the bulls and take a ride,jump a park bench,lan,vis,vis,targ,lan,3
437,want to cool off,,grab my board and go in the water,capture people in small boats,play with the surfboard,watch the fireworks,grab my surfboard and join the woman,targ,vis,lan,vis,lan,0
444,want to remember my vacations,,take a picture on the mountain and kee that moment with me forever,go ski down the mountain,watch the girl boarding in the water,i will joint the skiers on the mountain,blow up the water balloon in preparation for the game,targ,lan,vis,lan,vis,0
