id,sent1,sent2,ending0,ending1,ending2,ending3,ending4,end0type,end1type,end2type,end3type,end4type,label
52,get out of class earlier,,ski with the dogs,i will wash the elephant,take my friends to the zoo to see the giraffe,fly my kite at the park,feed the elephant a peanut,lan,vis,targ,lan,vis,2
53,don't want to get trampled on.,,give the child food to feed the elephant with.,hand feed a cow,go watch the giraffe,feed the child fruits,look at the zebras outside.,targ,lan,vis,lan,vis,0
54,want to learn more,,watch the elephant and what it is doing,watch the man on the horse,go to the museum and look at the fragile forest sign and exhibit,feed the horse a carrot,wait for the man to move away from the giraffe,targ,lan,vis,lan,vis,0
55,have a lot of money,,stand and watch the zebras,buy a bundle of bananas,buy an elephant,go to the museum and look at the fragile forest sign and exhibit,go to the ocean's edge with my dogs,vis,lan,targ,vis,lan,2
56,am being adventurous,,love to sit and watch & interact with the elephant,feed the horse a carrot,feed a cow an apple.,feed a giraffe.,travel to india and meet this elephant.,vis,lan,lan,targ,vis,3
57,want to make you laugh,,pet my cow on her snout,tickle the giraffe's nose,take my son and go to the zoo,just watch my friend fly an animal kite,travel to india and meet this elephant.,lan,targ,vis,lan,vis,1
58,want to feel better about myself,,take my child to pet the horse,go to the zoo and feed giraffes,play frisbee with them in the park,watch the baby laughing at the bear,i will pose with this big animal.,lan,targ,lan,vis,vis,1
59,was outside,,take pictures of these cute kids,visit elephants like this child,play with my son and his kite.,go to the museum and look at the fragile forest sign and exhibit,climb on top of the goat to run,lan,targ,lan,vis,vis,1
60,feel restless,,i will take my child to the zoo to feed the animals,go to the museum and look at the fragile forest sign and exhibit,visit a cow farm.,i will let the boy play and i chop the food,watch an elephant take off a mans hat with it's trunk,targ,vis,lan,lan,vis,0
61,like animals,,go see the cows,go to the park,go to the zoo and feed the giraffes,wait for the man to move away from the giraffe,watch the baby laughing at the bear,lan,lan,targ,vis,vis,2
62,feel adventurous,,just watch my friend fly an animal kite,give my pet a treat,hear this giraffe talking,play with an elephant,hold my bear and smile for the picture,lan,lan,vis,targ,vis,3
63,am feeling brave,,feed the horse a carrot,feed the giraffe.,go to the museum and look at the fragile forest sign and exhibit,feed a cow an apple.,travel to india and meet this elephant.,lan,targ,vis,lan,vis,1
64,want to see something funny,,hold my breath until the skateboarder completes his trick,hop on my skis like this person.,approach the elephant to see it more closely,wait for the giraffe to put his tongue out at the man,go to the museum and look at the fragile forest sign and exhibit,lan,lan,vis,targ,vis,3
65,am brave,,climb on top of the goat to run,give the child food to feed the elephant with.,i will pet the horse with the baby,let my child pet a cow,interact with a giraffe,vis,vis,lan,lan,targ,4
66,wanted to be nice,,travel to india and meet this elephant.,go bird watching on an outdoor public patio,saddle up the horse,stoke the giraffes head,pet the horse,vis,vis,lan,targ,lan,3
67,want to have fun,,have some fun in the park,i will have an elephant painting me a picture,play with the elephant,go bird watching on an outdoor public patio,feed the horse a carrot,lan,vis,targ,vis,lan,2
68,am amused,,take a picture of the man surfing,fly a kite,wait for the man to move away from the giraffe,take a photo f the man and elephant,stand and watch the zebras,lan,lan,vis,targ,vis,3
69,want to enjoy a nice,,enjoy walking my dog in the park,watch an elephant take off a mans hat with it's trunk,go outdoors seat and relax,wait for the man to move away from the giraffe,spend my day at the park,lan,vis,lan,vis,targ,4
70,feel like being entertained,,take my child to pet the horse,join them in the park,let the elephant spray me with his trunk,go and interact with the giraffes,i will wash the elephant,lan,lan,vis,targ,vis,3
71,want to get close,,take them for a ride on a horse carriage,i will wash the elephant,hop on my skis like this person.,try and get closer to the giraffes,go to the museum and look at the fragile forest sign and exhibit,lan,vis,lan,targ,vis,3
72,get my camera out,,stand and watch the zebras,take a picture of the dog,go to the museum and look at the fragile forest sign and exhibit,take a low angle picture of the girl and her kite.,snap a picture of the girl and giraffe,vis,lan,vis,lan,targ,4
73,want my son to be in touch with nature,,spend my day at the park,approach the elephant to see it more closely,examine the cows,show my little girl the giraffe.,take the balloon,vis,targ,lan,vis,lan,1
74,want to have fun,,feed the giraffe a carrot,go to the museum and look at the fragile forest sign and exhibit,go to the elephant enclosure and see if they offer rides,eat this piece of bread,play with the bear,targ,vis,vis,lan,lan,0
75,want to be close to animals,,feed the giraffe,go to the museum and look at the fragile forest sign and exhibit,travel to india and meet this elephant.,feed a cow an apple.,feed the animal a snack,targ,vis,vis,lan,lan,0
76,want to see something exotic,,have a elephant do a painting,watch the players stand around on the pitchers mound,watch the zebras in front of the people at the outdoor table,i will have an elephant painting me a picture,walk around the people playing on the sidewalk,vis,lan,targ,vis,lan,2
77,am feeling brave,,i will pet the horse with the baby,ride an elephant too,grab a kite and fly it,go bird watching on an outdoor public patio,look at the giraffe while holding my child,lan,targ,lan,vis,vis,1
78,feel brave,,take my child to pet the horse,climb on top of the goat to run,go to the farm and feed a cow an apple,watch an elephant take off a mans hat with it's trunk,feed giraffe at the zoo,lan,vis,lan,vis,targ,4
79,was there i'd be standing back,,take a picture of this couple with the bear.,next try to take pictures with the elephants,go watch the giraffe,watch the baby laughing at the bear,take a selfie with friends,lan,targ,vis,vis,lan,1
80,have some time to waste,,enjoy the monuments on this walk,let the elephant spray me with his trunk,hug the stuffed panda,go to the museum and look at the fragile forest sign and exhibit,i would check out the photos on the wall,lan,vis,vis,targ,lan,3
81,if it think they are thirsty,,go to the museum and look at the fragile forest sign and exhibit,chat with a giraffe and admire its face,walk by the ocean,run away from the cows,take the elephants to the water,vis,vis,lan,lan,targ,4
82,want to cool off in the heat,,go bird watching on an outdoor public patio,ride my surfboard in the sea,go to the museum and look at the fragile forest sign and exhibit,take my teddy to the beach to paddle in the water,get in the water with the elephants,vis,lan,vis,lan,targ,4
83,want to experience some cuteness,,go to the museum and look at the fragile forest sign and exhibit,visit the baby elephant,hear this giraffe talking,fly a kite with my son.,fly a kite in a park,vis,targ,vis,lan,lan,1
84,was to go on vacation,,visit a farm with cows,wait for the man to move away from the giraffe,chat with a giraffe and admire its face,want to feed the baby elephants as part of the trip,i will pet the horse with the baby,lan,vis,vis,targ,lan,3
85,want to see the tallest land mammal,,pet my cow on her snout,travel to india and meet this elephant.,give the child food to feed the elephant with.,look at the giraffes,see this animals face,lan,vis,vis,targ,lan,3
86,have fun,,take a walk in the park,go to the zoo with the boy,go the baseball game and watch him play with other boys,watch an elephant painting a picture,climb on top of the goat to run,lan,targ,lan,vis,vis,1
87,am curious,,look at the cow,stand and watch the zebras,take my kite out to the backyard,pet the elephant's trunk,go to the museum and look at the fragile forest sign and exhibit,lan,vis,lan,targ,vis,3
88,want to survey my territory,,take my daughter to a farm to see the animals,take a walk in the park and see these people enjoying the sunny day.,watch an elephant painting a picture,climb on top of the goat to run,have a good look around the zoo,lan,lan,vis,vis,targ,4
89,feel like asking if it gets neck ache.,,feed the animal a snack,feed the horse a carrot,go to the museum and look at the fragile forest sign and exhibit,feed the giraffe.,travel to india and meet this elephant.,lan,lan,vis,targ,vis,3
90,am enjoying the walk in the nature,,want to feed the baby elephants as part of the trip,love to sit and watch & interact with the elephant,offer to take a picture,take a photo of a stuffed bear,take a picture of the giraffe to have it as a souvenir,vis,vis,lan,lan,targ,4
91,want to see interesting animals,,touch the elephant to show love and respect,watch a parade with horses,look for giraffes at a farm.,ride a horse.,let the elephant spray me with his trunk,vis,lan,targ,lan,vis,2
92,want to relax,,give the child food to feed the elephant with.,watch the man sheer the sheep,watch a dog do tricks,travel to india and meet this elephant.,watch the giraffe for awhile,vis,lan,lan,vis,targ,4
93,if i feeling very sad,,let my child pet a cow,we will go to the garden and fly kites,i will go to zoo,watch an elephant painting a picture,watch an elephant take off a mans hat with it's trunk,lan,lan,targ,vis,vis,2
94,want to say hello,,walk to the giraffe,give the child food to feed the elephant with.,fly a kite in the park,i will have an elephant painting me a picture,stare at this horse and hop on top of it.,targ,vis,lan,vis,lan,0
95,if i am feeling photogenic.,,take a selfie with my cat,wait for the man to move away from the giraffe,i will pose with this big animal.,take my son and go to the zoo,see this animals face,lan,vis,targ,vis,lan,2
96,want to have fun running all afternoon,,climb the steps and get on the plane,i will pose with this big animal.,give the child food to feed the elephant with.,jump on the bulls and take a ride,climb on top of the goat to run,lan,vis,vis,lan,targ,4
97,want to see nature,,give the child food to feed the elephant with.,travel to india and meet this elephant.,look at the zebras outside.,try to catch the ball if it goes out of the field,knock the ball out of the park,vis,vis,targ,lan,lan,2
98,want to do something new,,feed the animal a snack,pet a zebra,let my child pet a cow,hold my bear and smile for the picture,go to the museum and look at the fragile forest sign and exhibit,lan,targ,lan,vis,vis,1
99,feel curious,,wait for the man to move away from the giraffe,go to the zoo to see these animals,enjoy watching the people fly their kites,feed birds at the pond.,climb on top of the goat to run,vis,targ,lan,lan,vis,1
100,want to pass by,,look at the giraffe while holding my child,hear this giraffe talking,walk around the men and the elephant they are riding,take a shortcut through the woods to avoid the biker couple.,watch the person riding the motorcycle around the mud track,vis,vis,targ,lan,lan,2
101,was there i'd take the picture of them,,travel to india and meet this elephant.,go to the museum and look at the fragile forest sign and exhibit,try and feed the giraffe next,feed the horse some food,give my pet a treat,vis,vis,targ,lan,lan,2
102,go to the zoo,,ride a horse like the man,ride an elephant,stand and watch the zebras,go home and ride my bike,go bird watching on an outdoor public patio,lan,targ,vis,lan,vis,1
103,wanted a day out,,take my daughter to a farm to see the animals,give the child food to feed the elephant with.,watch an elephant painting a picture,fly my kite at the park,visit the giraffes,lan,vis,vis,lan,targ,4
104,felt like visiting my favorite animal at the zoo,,just watch my friend fly an animal kite,pet my cow on her snout,check out the giraffe enclosure and pet one,i will get behind the fence to see the elephant closely,look at the zebras outside.,lan,lan,targ,vis,vis,2
105,am interested,,i will pet the horse with the baby,go to the museum and look at the fragile forest sign and exhibit,wait to see the giraffe,fly to thailand and play with elephants,let my child pet a cow,lan,vis,targ,vis,lan,2
106,am tired of walking around,,want to feed the baby elephants as part of the trip,fly my kite at the park,go to the zoo with my kids,gently coax the animal off my shoulder and say meow,stop and pet the giraffe,vis,lan,vis,lan,targ,4
107,want to make art,,take a photo of the funny signpost,draw on an elephant,take a picture of the cow with my phone.,wait for the man to move away from the giraffe,hear this giraffe talking,lan,targ,lan,vis,vis,1
108,need to see something cute,,i will ride the animal,take my child to pet the horse,go to the museum and look at the fragile forest sign and exhibit,watch the baby laughing at the bear,take a trip to see the giraffe,lan,lan,vis,vis,targ,4
109,am feeling like having fun,,watch the zebras in front of the people at the outdoor table,snap a picture of the girl and giraffe,have some fun in the park,play ball in the park,go and play with the elephant,vis,vis,lan,lan,targ,4
110,want to take a nice picture.,,take my umbrella to the park today,go to the museum and look at the fragile forest sign and exhibit,wait my turn to pet the cow,go bird watching on an outdoor public patio,kiss the zoo giraffe,lan,vis,lan,vis,targ,4
111,get behind it,,i will get behind the fence to see the elephant closely,go to the museum and look at the fragile forest sign and exhibit,enjoy the monuments on this walk,i will pet the horse with the baby,cuddle my baby and look at giraffes.,targ,vis,lan,lan,vis,0
112,want to experience wildlife,,feed a cow an apple.,go to the zoo with my daughter and see giraffes,go to the museum and look at the fragile forest sign and exhibit,stand next to the elephant,stand close to the bull and take a photograph,lan,vis,vis,targ,lan,3
113,am feeling interested,,pet the elephant,pet the cat on the bus.,go bird watching on an outdoor public patio,pet the cat in bed,go to the museum and look at the fragile forest sign and exhibit,targ,lan,vis,lan,vis,0
114,want to see animals,,go to the zoo to see elephants,go to the park,i will pose with this big animal.,wait for the man to move away from the giraffe,go see the cows,targ,lan,vis,vis,lan,0
115,rode an animal,,go to the museum and look at the fragile forest sign and exhibit,have fun on the elephant,have some fun in the park,take my kite out to the backyard,watch an elephant painting a picture,vis,targ,lan,lan,vis,1
116,am there,,wait for the man to move away from the giraffe,feed the horse a carrot,feed the elephant a peanut,go to the museum and look at the fragile forest sign and exhibit,feed the bird,vis,lan,targ,vis,lan,2
117,want to see animals,,stroke the elephant,go to the zoo and look at giraffes behind a fence,i will take a picture of the zebras standing back to back,watch the horse show at the local equestrian park,watch a parade with horses,vis,targ,vis,lan,lan,1
118,want to get a unique photo opportunity,,see this animals face,pose with the elephant,go to the museum and look at the fragile forest sign and exhibit,go bird watching on an outdoor public patio,pose for a group picture,lan,targ,vis,vis,lan,1
119,want to be part of nature,,travel to india and meet this elephant.,catch the frisbee when it is thrown,watch the zebras in front of the people at the outdoor table,hand feed a cow,look at the giraffe while holding my child,vis,lan,vis,lan,targ,4
120,want to feel happy,,stand and watch the zebras,pet my cow on her snout,pet this elephant,see this animals face,go to the museum and look at the fragile forest sign and exhibit,vis,lan,targ,lan,vis,2
121,want to see animals.,,get my picture taken with a bear cub,go to the zoo to see a giraffe.,stroke the elephant,give the child food to feed the elephant with.,take a picture with a girl and a cow,lan,targ,vis,vis,lan,1
122,am dr. dolittle,,wait my turn to pet the cow,watch an elephant painting a picture,give a family a cow.,hear this giraffe talking,go to the museum and look at the fragile forest sign and exhibit,lan,vis,lan,targ,vis,3
123,am feeling adventurous,,feed a cow an apple.,i will take a picture of the zebras standing back to back,snap a picture of the girl and the giraffe.,have some fun in the park,go and play with the elephants,lan,vis,vis,lan,targ,4
124,do not want to be in danger,,stand and watch the zebras,i would go to the countryside to see a cow,watch an elephant painting a picture,i will pet the horse with the baby,better i move away from the elephants,vis,lan,vis,lan,targ,4
125,am feeling happy,,will hug my bears,give the child food to feed the elephant with.,hold my bear and smile for the picture,look at the zebras outside.,smile for the camera,lan,vis,targ,vis,lan,2
126,want to be usefull,,go to the museum and look at the fragile forest sign and exhibit,give the children a bath,bathe the elephants,rub the nose of the cow,go bird watching on an outdoor public patio,vis,lan,targ,lan,vis,2
127,am feeling sad,,visit the elephants,go bird watching on an outdoor public patio,go to the ocean's edge with my dogs,fly a kite in a park,wait for the man to move away from the giraffe,targ,vis,lan,lan,vis,0
128,want to enjoy the afternoon in the middle of animals,,make the elephant raise its leg,go bird watching on an outdoor public patio,go to the museum and look at the fragile forest sign and exhibit,pet the cow,take my child to pet the horse,targ,vis,vis,lan,lan,0
129,play with the children,,walk with the elephant,i will have an elephant painting me a picture,take my horse on a journey,give a family a cow.,go to the museum and look at the fragile forest sign and exhibit,targ,vis,lan,lan,vis,0
130,want to try something new,,go to the museum and look at the fragile forest sign and exhibit,ride on the back of an elephant,fly a kite in a park,fly a kite in the park,stand and watch the zebras,vis,targ,lan,lan,vis,1
131,want to observe nature,,feed the elephant a peanut,go bird watching on an outdoor public patio,watch the horse show at the local equestrian park,stroke the elephant,take a walk on the grass,vis,targ,lan,vis,lan,1
132,am surprised,,get a home run on the baseball field.,travel to india and meet this elephant.,see a big bird on a deck,cuddle my baby and look at giraffes.,grab a goat by the horns,lan,vis,targ,vis,lan,2
133,am having fun,,go bird watching on an outdoor public patio,play with the panda,watch an elephant take off a mans hat with it's trunk,join them in the park,sit back and feed the birds with him,vis,targ,vis,lan,lan,1
134,am feeling a bit silly,,take the tea with my stuffed animals,give my baby a bear to cuddle.,stand and watch the zebras,go to the museum and look at the fragile forest sign and exhibit,hug the stuffed panda,lan,lan,vis,vis,targ,4
135,want to see animals,,go see the cows,watch an elephant take off a mans hat with it's trunk,take my child to pet the horse,i will take a picture of the zebras standing back to back,go to the zoo with my daughter and see giraffes,lan,vis,lan,vis,targ,4
136,want to go out,,go to the zoo to see giraffes,herd a goat,go to see the cows,stroke the elephant,i will pose with this big animal.,targ,lan,lan,vis,vis,0
137,want to feel excited,,give the child food to feed the elephant with.,take my daughter to a farm to see the animals,go bird watching on an outdoor public patio,show my little girl the giraffe.,pet the cat,vis,lan,vis,targ,lan,3
138,feel like observing,,ride the elephant with my children,stare at this horse and hop on top of it.,go watch the giraffe,fly to thailand and play with elephants,watch the man sheer the sheep,vis,lan,targ,vis,lan,2
139,want to be impressed,,i will pose with this big animal.,go to the zoo and watch the elephants,go to the amusement park,take my dog and go and watch the cricket,wait for the man to move away from the giraffe,vis,targ,lan,lan,vis,1
140,am feeling bored.,,go bird watching on an outdoor public patio,go to the museum and look at the fragile forest sign and exhibit,watch a dog do tricks,watch the elephant.,watch the man shear the sheep,vis,vis,lan,targ,lan,3
141,wanted to ride an animal at the zoo,,go to the elephant enclosure and see if they offer rides,take them out to ride in my motorcycle,watch the baby laughing at the bear,play in the park with a dog,snap a picture of the girl and the giraffe.,targ,lan,vis,lan,vis,0
142,was at a zoo i would see this animal,,wait for the man to move away from the giraffe,visit lots of animals at this park,just watch my friend fly an animal kite,hear this giraffe talking,i will go to frisbee park,vis,targ,lan,vis,lan,1
143,needed a good laugh while at the zoo,,take my child to the zoo for a visit,walk up the man and make fun of his tie.,i will go to zoo,watch an elephant take off a mans hat with it's trunk,watch the man with the frisbees and the dog,vis,lan,vis,targ,lan,3
144,was there i would be so scared,,wait for the man to move away from the giraffe,take lots of pictures of elephants,get a good picture of the train,stand and watch the zebras,take a picture of it with my camera.,vis,targ,lan,vis,lan,1
145,want to smile,,sit with the bear,go bird watching on an outdoor public patio,go to the museum and look at the fragile forest sign and exhibit,play with the bear,watch the baby laughing at the bear,lan,vis,vis,lan,targ,4
146,want to spend quality time,,go to the zoo.,wait for the man to move away from the giraffe,go to the ball park and watch a game,watch an elephant take off a mans hat with it's trunk,take my dog and go and watch the cricket,targ,vis,lan,vis,lan,0
147,have my camera ready,,take a picture of this couple with the bear.,jump in and take a selfie with this woman,snap a picture of the girl and the giraffe.,give the child food to feed the elephant with.,go to the museum and look at the fragile forest sign and exhibit,lan,lan,targ,vis,vis,2
148,saw an animal,,go bird watching on an outdoor public patio,watch the man with the frisbees and the dog,go to the museum and look at the fragile forest sign and exhibit,watch the man on the horse,watch the elephant,vis,lan,vis,lan,targ,4
149,want to get wet,,let the elephant spray me with his trunk,i will pet the cat,i will ride the animal,watch the zebras in front of the people at the outdoor table,snap a picture of the girl and the giraffe.,targ,lan,lan,vis,vis,0
150,wanted to do something fun,,go and feed the giraffe,watch the baby laughing at the bear,watch an elephant painting a picture,take my child to pet the horse,give a family a cow.,targ,vis,vis,lan,lan,0
151,want to relax after working all day,,go to the park and feed the giraffes,eat some food from the buffet,fly kites outdoor with family,watch an elephant painting a picture,hold my bear and smile for the picture,targ,lan,lan,vis,vis,0
152,want a one of a kind experience,,take them for a ride on a horse carriage,ride bicycle on the road,stand and watch the zebras,go bird watching on an outdoor public patio,ride an elephant,lan,lan,vis,vis,targ,4
153,feel like trying something different,,give my pet a treat,try out this park,i will take a picture of the zebras standing back to back,chat with a giraffe and admire its face,take a selfie with my cat,lan,vis,vis,targ,lan,3
154,feel curious,,ride on an animal in the water,watch the children interact with the giraffe,i will have an elephant painting me a picture,take a picture with a girl and a cow,travel to india and meet this elephant.,lan,targ,vis,lan,vis,1
